Title,GPT or Web,bias / sensationalism score,Author,Publisher,keyword,link,Sensation Score
Long Island duck farmer’s new hope after bird flu wipes out flock,web recommended,,,NBC News,bird flu,https://www.nbcnews.com/nightly-news/video/long-island-duck-farmer-s-new-hope-after-bird-flu-wipes-out-flock-233231941802,0.0
Cat euthanized in New Jersey after becoming sick from bird flu,web recommended,,6abc digital staff,Whyy,bird flu,https://whyy.org/articles/cat-euthanized-bird-flu-new-jersey/,0.0
Second US company recalls pet food as bird flu spreads to cats through tainted meat,web recommended,,Melody Schreiber,The Guardian,bird flu,https://www.theguardian.com/us-news/2025/feb/28/cats-bird-flu,0.0
Another Popular Cat Food Has Been Linked to Bird Flu Igniting More Fear in Pet Parents,web recommended,,Devan McGuinness,ParadePets,bird flu,https://www.yahoo.com/lifestyle/another-popular-cat-food-linked-211000367.html,0.8530123446774459
The US May Start Vaccinating Chickens Against Bird Flu,web recommended,,Emily Mullin,WIRED,bird flu,https://www.wired.com/story/chickens-vaccines-us-bird-flu/,0.8776956217217983
Iconic Sandhill cranes face mass die-off in bird flu outbreak,web recommended,,"Trevor Hughes, Dinah Voyles Pulver",USA Today,bird flu,https://www.usatoday.com/story/news/nation/2025/02/28/bird-flu-outbreak-kills-migratory-sandhill-cranes/80700275007/,0.0
"Egg prices could jump 41% this year, USDA says, as Trump’s bird flu plan is unveiled",GPT recommended,,"Josh Funk, Josh Boak",AP News,bird flu,https://apnews.com/article/record-egg-prices-usda-bird-flu-virus-92e9f5fbc4e0a792be484a4aee5b9c16,0.0
EVOLVING BUG Two more cats positive for H5N1 bird flu amid scientists’ fears it spreads by WIND,GPT recommended,,Isabel Shaw,The Scottish Sun,bird flu,https://www.thescottishsun.co.uk/health/14414815/bird-flu-cats-h5n1-spreads-by-wind/?utm_source=chatgpt.com,0.9522502967941022
"The Bird Flu Could Be Way Worse Than We Know, According to Experts",GPT recommended,,Stacey Leasca,Food & Wine,bird flu,https://www.foodandwine.com/avian-influenza-transmission-endemic-in-cows-11686288?utm_source=chatgpt.com,0.913546012153371
Michigan’s cage-free egg law takes effect amid bird flu crisis,GPT recommended,,Jhyrah DeLapp,Michigan's Thumb,bird flu,https://www.michigansthumb.com/news/article/michigan-s-cage-free-egg-law-takes-effect-amid-20186996.php?utm_source=chatgpt.com,0.0
H5 Highly Pathogenic Avian Influenza Confirmed in New Jersey Cat,GPT recommended,,,New Jersey Department of Health,bird flu,https://www.nj.gov/health/news/2025/approved/20250228a.shtml?utm_source=chatgpt.com,0.744668487259885
Bird flu threatens backyard flocks in New Mexico,GPT recommended,,Tamara Lopez,KOB4,bird flu,https://www.kob.com/news/top-news/bird-flu-threatens-backyard-flocks-in-new-mexico/?utm_source=chatgpt.com,0.0
First H5 Bird Flu Death Reported in United States,GPT recommended,,,CDC,bird flu,https://www.cdc.gov/media/releases/2025/m0106-h5-birdflu-death.html?utm_source=chatgpt.com,0.9074233379453431
US egg farmers worry fight against bird flu is unwinnable as experts consider vaccinations: ‘I call this virus a terrorist’,GPT recommended,, Katherine Donlevy,New York Post,bird flu,https://nypost.com/2025/02/15/us-news/us-egg-farmers-concerned-bird-flu-unwinnable-as-experts-consider-vaccinations/?utm_source=chatgpt.com,0.0
Bird Flu Cases in People Are Being Undercounted,GPT recommended,,,Wikipedia,bird flu,https://en.wikipedia.org/wiki/2020%E2%80%932025_H5N1_outbreak?utm_source=chatgpt.com,0.5722073718430072
Sandhill crane deaths from bird flu in eastern U.S. has Nebraska on alert,GPT recommended,,Andrew Ozaki,KETV,bird flu,https://www.ketv.com/article/nebraska-on-alert-sandhill-crane-death/63983997,0.0
"Officials: 90 dead birds removed from pond, deaths possibly caused by bird flu",GPT recommended,,Andrew McMunn,Western Mass News,bird flu,https://www.westernmassnews.com/2025/03/02/officials-90-dead-birds-removed-pond-deaths-possibly-caused-by-bird-flu/,0.0
"As bird flu spreads, feds might undercut states by firing scientists, removing data",GPT recommended,,Nada Hassanein,Source NM,bird flu,https://sourcenm.com/2025/03/02/as-bird-flu-spreads-feds-might-undercut-states-by-firing-scientists-removing-data/,0.0
USDA unveils a $1 billion plan to address the egg crisis,GPT recommended,,"Manuela López Restrepo, Scott Horsley",NPR,bird flu,https://www.npr.org/2025/02/28/g-s1-51270/egg-prices-usda-bird-flu,0.0
"From backyard chickens to house cats, the bird flu is spreading. Do you need to worry about another pandemic?",GPT recommended,,Katie Kerwin McCrimmon,UCHealth,bird flu,https://www.uchealth.org/today/latest-in-bird-flu-news/,0.0
H5 Bird Flu: Current Situation,GPT recommended,,", ",CDC,bird flu,http://cdc.gov/bird-flu/situation-summary/index.html,0.7581944742364136
Global effort enhances clinical care for children with rare genetic diseases,web recommended,,Murdoch Children's Research Institute,Medical XPress,global medicine,https://medicalxpress.com/news/2025-02-global-effort-clinical-children-rare.html,0.0
Global patterns and trends in breast cancer incidence and mortality across 185 countries,web recommended,,"Joanne Kim, Andrew Harper, Valerie McCormack",Nature,global medicine,https://www.nature.com/articles/s41591-025-03502-3,0.0
Innovative finance brings new river blindness medicine to Africa,web recommended,,Sara Jerving,Devex,global medicine,https://www.devex.com/news/innovative-finance-brings-new-river-blindness-medicine-to-africa-109137,0.0
"Global Pharmaceutical Market Size to Worth USD 2845.3 Billion by 2032, Rising Healthcare Expenditure and Innovations in Drug Research Propels Growth | Research by SNS Insider",web recommended,,,Yahoo Finance,global medicine,https://finance.yahoo.com/news/global-pharmaceutical-market-size-worth-143000322.html,0.4512580483218052
Why an aspiring doctor left medicine behind to pursue global health policy,web recommended,,,McCourt School of Public Policy Georgetown University,global medicine,https://mccourt.georgetown.edu/news/rosie-poling-global-health-policy/,0.0
A little-known Chinese company made a drug that beat the world’s biggest-selling medicine,web recommended,,"Wayne Chang, Will Ripley, Eric Cheung",CNN,global medicine,https://www.cnn.com/2025/02/25/business/china-biotech-global-disruption-intl-hnk/index.html,0.0
"Global Medicine Blister Packaging Market to Hit USD 38.8 Billion by 2035, Driven by Sustainability Trends | Future Market Insights, Inc.",web recommended,,,Globe Newswire,global medicine,https://www.globenewswire.com/news-release/2025/02/19/3029001/0/en/Global-Medicine-Blister-Packaging-Market-to-Hit-USD-38-8-Billion-by-2035-Driven-by-Sustainability-Trends-Future-Market-Insights-Inc.html,0.15668312152835487
Crucial aid sits in warehouses worldwide as USAID employees are told to stop working,web recommended,,Suzy Khimm,NBC News,global medicine,https://www.nbcnews.com/news/politics-news/trump-usaid-upheaval-paralyzing-global-delivery-food-medicine-rcna190565,0.0
Sierra Leone inaugurates 1st traditional Chinese medicine center,web recommended,,Xinhua,Global Times,global medicine,https://www.globaltimes.cn/page/202503/1329316.shtml,0.0
"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",web recommended,,Kriti Dhingra,NewsX,global medicine,https://www.newsx.com/health/whats-next-in-medicine-global-experts-discuss-the-future-far-reaching-effects-at-nxt-conclave-2025/,0.5456571287462283
Arinze Okafor discusses the road to precision medicine and its impact on global health,web recommended,,Chisom Michael,Business Day,global medicine,https://businessday.ng/interview/article/arinze-okafor-discusses-the-road-to-precision-medicine-and-its-impact-on-global-health/,0.0
Chewy Veterinary Leader JC Alvarado Colon: Bringing a global perspective to local action,web recommended,,Brooke Garcia,Colorado State University,global medicine,https://cvmbs.source.colostate.edu/chewy-veterinary-leader-jc-alvarado-colon-bringing-a-global-perspective-to-local-action/,0.34825511323964053
Pandemic monitoring with global aircraft-based wastewater surveillance networks,web recommended,,"Guillaume St-Onge, Jessica T. Davis, Laurent Hébert-Dufresne",Nature,global medicine,https://www.nature.com/articles/s41591-025-03501-4,0.0
The case for investing in global genomic medicine,web recommended,,Mie Rizig,Nature,global medicine,https://www.nature.com/articles/s41591-024-03461-1,0.0
Biobanking with genetics shapes precision medicine and global health,web recommended,,"C. Scott Gallagher, Geoffrey S. Ginsburg, Anjené Musick",Nature,global medicine,https://www.nature.com/articles/s41576-024-00794-y,0.0
"Psychiatric drug research held back by ‘stigma’, says top UK scientist",GPT recommended,,,Financial Times,global medicine,https://www.ft.com/content/ad33706d-ae44-41c9-81ab-1ddd7550af1f?utm_source=chatgpt.com,0.0
"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO",GPT recommended,,Andrew Gregory,The Guardian,global medicine,https://www.theguardian.com/society/2025/feb/24/breast-cancer-diagnoses-deaths-surge-worldwide-who?utm_source=chatgpt.com,0.0
A new era of Made in America drug manufacturing,GPT recommended,,Tina Reed,Axios,global medicine,https://www.axios.com/2025/02/27/eli-lilly-drug-manufacturing-trump-america?utm_source=chatgpt.com,0.0
"US to axe grants to 10,000 aid organisations",GPT recommended,,,Financial Times,global medicine,https://www.ft.com/content/f005e9cc-2364-4127-94c5-5155899cae6e?utm_source=chatgpt.com,0.0
This New Drug Could Help End the HIV Epidemic—but US Funding Cuts Are Killing Its Rollout,GPT recommended,,David Cox,WIRED,global medicine,https://www.wired.com/story/lenacapavir-usaid-hiv-aids-funding-cuts/?utm_source=chatgpt.com,0.9559779937222159
NHS watchdog blocks AstraZeneca breast cancer drug ,GPT recommended,,,Financial Times,global medicine,https://www.ft.com/content/d831c865-ae82-40f3-86a3-de43b53d25f0,0.004879077615298088
"Fake British cough syrup linked to Cameroon child deaths was made in India, officials say",GPT recommended,,Sam Lateef,The Telegraph,global medicine,https://www.telegraph.co.uk/global-health/science-and-disease/fake-british-cough-syrup-cameroon-child-deaths-india/,0.0
"Tea bags, takeaways and hot dogs linked to high levels of forever chemicals, American study finds",GPT recommended,,,Euronews,global medicine,"https://www.euronews.com/green/2024/02/20/tea-bags-takeaways-and-hot-dogs-linked-to-high-levels-of-forever-chemicals-american-study-#:~:text=What%20foods%20were%20linked%20to,in%20the%20body%20over%20time.",0.0
The Macro Impacts of Microplastics,GPT recommended,,Brian W. Simpson,Johns Hopkins Bloomberg School of Public Health,global medicine,https://globalhealthnow.org/2025-02/macro-impacts-microplastics,0.03178772879762598
"Africa’s medical system risks ‘collapse in next few years’, warns health leader",GPT recommended,,Kat Lay,The Guardian,global medicine,https://www.theguardian.com/global-development/2025/feb/27/africas-medical-system-risks-collapse-in-next-few-years-warns-health-leader,0.0
Musk says work to stop Ebola was accidentally cut but restored. Experts raise doubts,GPT recommended,,Gabrielle Emanuel,NPR,global medicine,https://www.npr.org/sections/goats-and-soda/2025/02/27/g-s1-50929/elon-musk-ebola-usaid,0.0
"‘Disruptive, unfair and cruel’: jobs lost and treatment stopped as USAid freeze hits HIV care in Zimbabwe",GPT recommended,,Farai Shawn Matiashe,The Guardian,global medicine,https://www.theguardian.com/global-development/2025/feb/14/usaid-freeze-hits-hiv-aids-care-in-zimbabwe,0.0
Handouts are never free. The cruel US aid freeze is an opportunity for the Caribbean,GPT recommended,,Kenneth Mohammed,The Guardian,global medicine,https://www.theguardian.com/global-development/2025/feb/18/united-states-trump-aid-freeze-opportunity-caribbean-oligarchy-small-island-developing-states-climate,0.0
Better Together: Building a Global Health Network Economy through Data Collaboratio,GPT recommended,,,World Economic Forum,global medicine,https://www.weforum.org/publications/better-together-building-a-global-health-network-economy-through-data-collaboration/,0.2932293230292507
‘It’s a cowboy show out there’: the deadly lottery of the snakebite antivenom industry,GPT recommended,,"Paul Eccles, Andjela Milivojevic, Rachel Schraer.",The Guardian,global medicine,https://www.theguardian.com/global-development/2025/feb/13/its-a-cowboy-show-out-there-the-deadly-lottery-of-the-snakebite-antivenom-industry,0.0
Cancer family 'financially broken' by benefits wait,web recommended,,Aurelia Foster,BBC,cancer,https://www.bbc.com/news/articles/cr422y4evx0o,0.0
"Mia Love, first Black Republican congresswoman, faces worsening cancer prognosis, daughter says",web recommended,,Kristin Chapman,CNN,cancer,https://www.cnn.com/2025/03/02/politics/mia-love-cancer-treatment-glioblastoma/index.html,0.0
"Shark Tank India 4: Pitchers claim of predicting Cancer, Heart Attack and other diseases with their DNA-based screenings; Aman Gupta reacts, 'Meri toh zindagi kharab ho jayegi'",web recommended,,,Times of India,cancer,https://timesofindia.indiatimes.com/tv/news/hindi/shark-tank-india-4-pitchers-claim-of-predicting-cancer-heart-attack-and-other-diseases-with-their-dna-based-screenings-aman-gupta-reacts-meri-toh-zindagi-kharab-ho-jayegi/articleshow/118675838.cms,0.0
Terminal cancer patient 'scared' of dying at home,web recommended,,Mairead Smyth,BBC,cancer,https://www.bbc.com/news/articles/c8e76lx6k94o,0.0
Auburn coach Hugh Freeze diagnosed with prostate cancer,web recommended,,Mark Schlabach,ESPN,cancer,https://www.espn.com/college-football/story/_/id/44057548/auburn-coach-hugh-freeze-diagnosed-prostate-cancer,0.0
Inside the Ramallah hotel housing Gaza’s cancer patients,web recommended,,,Al Jazeera,cancer,https://www.aljazeera.com/features/2025/3/2/inside-the-ramallah-hotel-housing-gazas-cancer-patients,0.0
‘I lost 90 per cent of my friends to my diagnosis’: The isolating reality of ‘cancer ghosting’,web recommended,,Rachel Clun,The Independent,cancer,https://www.independent.co.uk/news/health/cancer-symptoms-ghosting-young-people-b2700127.html,0.0
Retired NYPD cop goes broke trying to save son from rare brain cancer: ‘We won’t give up’,web recommended,,Susan Edelman,New York Post,cancer,https://nypost.com/2025/03/02/us-news/retired-nypd-cop-goes-broke-trying-to-save-son-from-cancer/,0.0
Mediterranean diet could help lower cancer risk in obesity,web recommended,,Jessica Freeborn,Medical News Today,cancer,https://www.medicalnewstoday.com/articles/mediterranean-diet-could-help-lower-cancer-risk-in-obesity,0.0
Elissa's journey: A young mom's relentless battle for life after colorectal cancer hit,web recommended,,Kristen Jordan Shamus,Detroit Free Press,cancer,https://www.freep.com/story/news/health/2025/03/02/colorectal-cancer-stage-4-elissa-robinson-mom/80019762007/,0.0
Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,web recommended,,"Jinshou Yang, Feihan Zhou, Xiyuan Luo",Nature Cell Death Discovery,cancer,https://www.nature.com/articles/s41420-025-02366-3,0.0
Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,web recommended,,,News Medical Life Sciences,cancer,https://www.news-medical.net/news/20250302/Groundbreaking-scanner-could-revolutionize-breast-cancer-diagnosis-and-treatment.aspx,0.0
A Rare White Blood Cell Boosts Cancer-Fighting Immune Cells,web recommended,,Sneha Khedkar,The Scientist,cancer,https://www.the-scientist.com/a-rare-white-blood-cell-boosts-cancer-fighting-immune-cells-72735,0.9362523331956467
What cuts to NIH funding mean for cancer patients and their families,web recommended,,Julia Busiek,University of California,cancer,https://www.universityofcalifornia.edu/news/what-cuts-nih-funding-mean-cancer-patients-and-their-families,0.0
12 new breakthroughs in the fight against cancer,web recommended,,"Victoria Masterson, Ian Shine, Madeleine North",World Economic Forum,cancer,https://www.weforum.org/stories/2025/02/cancer-treatment-and-diagnosis-breakthroughs/,0.0
‘He’s a fighter’: nation awaits result of medical hero’s brain surgery,GPT recommended,,,The Australian,cancer,https://www.theaustralian.com.au/subscribe/news/1/?sourceCode=TAWEB_WRE170_a&dest=https%3A%2F%2Fwww.theaustralian.com.au%2Fhealth%2Fmedical%2Ffederal-health-minister-among-well-wishers-for-melanoma-scientist-richard-scolyer%2Fnews-story%2Fb069216ba286ed2e54ec64803d9ff98b&memtype=anonymous&mode=premium&v21=GROUPB-Segment-1-NOSCORE&V21spcbehaviour=append,0.0
Young people with cancer in England face seven-month wait for disability benefits,GPT recommended,,Aletha Adu,The Guardian,cancer,https://www.theguardian.com/society/2025/mar/02/young-people-cancer-england-face-seven-month-wait-disability-benefits?utm_source=chatgpt.com,0.0
"Melbourne mum, 35, dies from bowel cancer as Aussie rates spike in young people",GPT recommended,,Rebekah Scanlan,news.com.au,cancer,https://www.news.com.au/lifestyle/health/health-problems/sydney-mum-35-dies-from-bowel-cancer-as-aussie-rates-spike-in-young-people/news-story/c7e6d500eaa9e0dc65d168b9b13134c0?utm_source=chatgpt.com,0.0
"ALL AT RISK I thought only unhealthy old smokers got lung cancer but I was 46, fit as a fiddle and given 5 years to live",GPT recommended,,Emma Pryer,The Sun,cancer,"https://www.thesun.co.uk/health/33498022/old-smokers-lung-cancer-fit-healthy-lungs/#:~:text=WHEN%20Kerrie%20Mitchell%20found%20a,aside%20because%20of%20her%20age.&text=The%20truth%2C%20though%2C%20changed%20her%20life%20forever.",0.0
Support pours in for Labor MP battling brain cancer,GPT recommended,,,The Courier Mail,cancer,https://www.couriermail.com.au/subscribe/news/1/?sourceCode=CMWEB_WRE170_a&dest=https%3A%2F%2Fwww.couriermail.com.au%2Fnews%2Fqueensland%2Flabor-mps-brave-fight-melissa-mcmahon-battles-brain-cancer%2Fnews-story%2F14aa44a827b506a12c701c0671e26b30&memtype=anonymous&mode=premium&v21=GROUPA-Segment-2-NOSCORE,0.0
Can AI Help Predict Which Cancer Patients Should Be Treated with Immunotherapy?,GPT recommended,,Sharon Reynolds,NIH National Cancer Institute,cancer,https://www.cancer.gov/news-events/cancer-currents-blog/2025/ai-predicts-cancer-immunotherapy-response-survival,0.6188405000474513
Glycoproteomic Influence on NK Cell Response in Ovarian Cancer,GPT recommended,,,Physician's Weekly,cancer,https://www.physiciansweekly.com/glycoproteomic-influence-on-nk-cell-response-in-ovarian-cancer/,0.47030232528794685
Artificial intelligence informs solutions for gastric cancer challenges,GPT recommended,,,Mayo Clinic,cancer,https://www.mayoclinic.org/medical-professionals/cancer/news/artificial-intelligence-informs-solutions-for-gastric-cancer-challenges/mac-20533322,0.0
Certain genetic alterations may contribute to primary resistance of certain cancers to KRAS G12C inhibitors,GPT recommended,,,Medical Xpress,cancer,https://medicalxpress.com/news/2025-02-genetic-contribute-primary-resistance-cancers.html?utm_source=chatgpt.com#google_vignette,0.0
New approach for studying drug-proteoform interactions can improve cancer treatments,GPT recommended,,,Medical Xpress,cancer,https://medicalxpress.com/news/2025-02-approach-drug-proteoform-interactions-cancer.html,0.0
"In Early-Phase Pancreatic Cancer Clinical Trial, Investigational mRNA Vaccine Induces Sustained Immune Activity in Small Patient Group",GPT recommended,,Jim Stallard,Memorial Sloan Kettering Cancer Center,cancer,https://www.mskcc.org/news/can-mrna-vaccines-fight-pancreatic-cancer-msk-clinical-researchers-are-trying-find-out?utm_source=chatgpt.com,0.632990654955875
"Tel Aviv University breaks new ground in cancer detection, treatment with new innovation",GPT recommended,,,The Jerusalem Post,cancer,https://www.jpost.com/health-and-wellness/article-844413?utm_source=chatgpt.com#google_vignette,0.0
New immunotherapy platform could increase potential to target cancer cells,GPT recommended,,,Stanford Report,cancer,https://news.stanford.edu/stories/2024/12/new-immunotherapy-platform-could-increase-potential-to-target-cancer-cells,0.0
Reimagining Cancer: Innovation-driven exploration and care,GPT recommended,,,Stanford Medicine Magazine,cancer,https://stanmed.stanford.edu/issue/2025issue1/,0.0
Combination treatment strategy dramatically increases cell death in leukemia,GPT recommended,,Blake Belden,Medical Xpress,cancer,https://medicalxpress.com/news/2025-02-combination-treatment-strategy-cell-death.html,0.0
